"ID_ASS_QUALITE_TARIF_TEXTURE","ID_QUALITE","ID_TARIF_TEXTURE","TARIF_LAINE","TARIF_SOIE","TARIF_LAINE_C","TARIF_SOIE_C"
"1","13","1","307","900","193","569"
"2","13","2","226","900","220","569"
"3","1","1","311","925","197","585"
"4","2","1","530","","344",""
"5","4","1","493","1011","319","656"
"6","5","1","566","1048","369","683"
"7","6","1","594","1103","387","720"
"8","7","1","760","1062","544","757"
"9","8","1","898","1103","585","720"
"10","9","1","859","1334","557","797"
"11","12","1","","2200","","1167"
"12","14","1","86","1162","551","757"
"13","18","1","423","1148","252","683"
"14","11","1","","","",""
"15","21","1","570","","",""
"16","17","1","","","",""
"17","1","2","260","925","225","585"
"18","4","2","453","1111","",""
"19","5","2","503","1148","393","825"
"20","6","2","534","1203","407","920"
"21","7","2","760","1262","610","830"
"22","8","2","898","1203","",""
"23","9","2","959","1745","594","1100"
"24","12","2","1200","2600","733","1445"
"25","14","2","836","1262","",""
"26","18","2","423","1248","",""
"27","11","2","589","","",""
"28","24","2","1386","1745","",""
"29","25","2","","","",""
"30","13","3","228","927","220","569"
"31","1","3","263","953","225","585"
"32","4","3","458","1145","",""
"33","5","3","508","1182","393","825"
"34","6","3","545","1239","407","920"
"35","7","3","768","1300","610","830"
"36","8","3","907","1239","",""
"37","9","3","959","1745","594","1100"
"38","12","3","1212","2678","733","1445"
"39","14","3","836","1300","",""
"40","18","3","427","1285","",""
"41","11","3","595","","",""
"42","24","3","1386","1745","",""
"43","25","3","","","",""
"44","13","4","228","927","220","569"
"45","1","4","263","953","225","585"
"46","4","4","458","1145","",""
"47","5","4","508","1270","393","825"
"48","6","4","550","1290","407","920"
"49","7","4","768","1570","610","830"
"50","8","4","907","1320","",""
"51","9","4","959","1745","594","1100"
"52","12","4","1212","2678","733","1445"
"53","14","4","836","1300","",""
"54","18","4","427","1285","",""
"55","11","4","595","","",""
"56","24","4","1386","1745","",""
"57","3","4","427","1285","",""
"58","13","5","233","946","224.39999389648","580.38000488281"
"59","1","5","268","972","229.5","596.70001220703"
"60","4","5","467","1219","",""
"61","5","5","518","1295","400.85998535156","841.5"
"62","6","5","561","1316","415.14001464844","938.40002441406"
"63","7","5","783","1601","622.20001220703","846.59997558594"
"64","8","5","925","1346","",""
"65","9","5","978","1780","605.88000488281","1122"
"66","12","5","1236","2732","747.65997314453","1473.9000244141"
"67","14","5","853","1326","",""
"68","18","5","436","1311","",""
"69","11","5","607","","",""
"70","24","5","1386","1745","",""
"71","3","5","436","1311","",""
"72","3","3","427","1285","",""
"73","13","6","237","964","228","592"
"74","1","6","273","991","234","608"
"75","4","6","476","1243","",""
"76","5","6","529","1321","409","858"
"77","6","6","572","1342","423","955"
"78","7","6","799","1633","635","863"
"79","8","6","944","1373","",""
"80","9","6","998","1815","618","1144"
"81","12","6","1261","2786","763","1503"
"82","14","6","870","1352","",""
"83","18","6","444","1337","",""
"84","11","6","619","","",""
"85","24","6","1414","1779","",""
"86","3","6","436","1311","",""
"87","26","6","273","972","",""
"88","27","6","1519","1342","",""
"89","28","6","346","1075","",""
"90","13","7","242","984","228","592"
"91","1","7","279","1011","234","608"
"92","4","7","486","1268","",""
"93","5","7","539","1348","510","858"
"94","6","7","584","1369","530","1055"
"95","7","7","815","1666","635","863"
"96","8","7","962","1401","",""
"97","9","7","1018","1852","618","1144"
"98","12","7","1552","2842","993","1803"
"99","14","7","887","1379","",""
"100","18","7","453","1364","",""
"101","11","7","631","","",""
"102","24","7","1986","1815","",""
"103","3","7","436","1311","",""
"104","26","7","273","984","",""
"105","27","7","1519","1342","",""
"106","28","7","352","1075","302","812"
"107","13","8","247","1003","235","610"
"108","1","8","284","1031","241","626"
"109","4","8","495","1294","",""
"110","5","8","550","1375","525","884"
"111","6","8","595","1396","546","1087"
"112","7","8","831","1699","635","863"
"113","8","8","982","1429","",""
"114","9","8","1038","1899","637","1178"
"115","12","8","1692","3098","1192","2164"
"116","14","8","905","1407","",""
"117","18","8","462","1391","",""
"118","11","8","644","1396","",""
"119","24","8","2026","1852","",""
"120","","8","","","",""
"121","26","8","278","1004","",""
"122","","8","","","",""
"123","28","8","360","1097","311","836"
"124","29","8","831","1699","635","863"
"125","13","9","257","1074","244","652"
"126","1","9","298","1103","251","670"
"127","4","9","520","1384","",""
"128","5","9","577","1471","546","946"
"129","6","9","625","1494","568","1163"
"130","7","9","872","1818","635","863"
"131","8","9","1031","1529","",""
"132","9","9","1090","2021","662","1261"
"133","12","9","1776","3315","1239","2315"
"134","14","9","950","1506","",""
"135","18","9","486","1489","",""
"136","11","9","676","1471","",""
"137","24","9","2127","1981","",""
"138","","9","","","",""
"139","26","9","292","1074","",""
"140","","9","","","",""
"141","28","9","378","1173","311","836"
"142","29","9","873","1818","635","1563"
"143","2","9","","","",""
"144","3","9","","","",""
"145","10","9","","","",""
"146","15","9","","","",""
"147","16","9","","","",""
"148","17","9","","","",""
"149","19","9","","","",""
"150","20","9","","","",""
"151","21","9","","","",""
"152","22","9","","","",""
"153","25","9","","","",""
"154","27","9","","","",""
"155","30","9","","","",""
"156","2","8","","","",""
"157","3","8","","","",""
"158","10","8","","","",""
"159","15","8","","","",""
"160","16","8","","","",""
"161","17","8","","","",""
"162","19","8","","","",""
"163","20","8","","","",""
"164","21","8","","","",""
"165","22","8","","","",""
"166","25","8","","","",""
"167","27","8","","","",""
"168","30","8","","","",""
