"ID_MODEL";"ID_COLLECTION";"REF_MODEL";"CODE_MODEL";"DESCRIPTION_FR";"DESCRIPTION_AN";"POLICE";"Gen_DESCRIPTION_AN";"Gen_DESCRIPTION_FR";"NUMERO_MAX";"REF_COLLECTION";"NUM_MAX";"REF_COLL";"Aen_DESCRIPTION_AN";"Aen_DESCRIPTION_FR"
1196;7;"01";;;;;;;0;;25;;;
1197;7;"02";;;;;;;0;;3;;;
1198;7;"03";;;;;;;0;;3;;;
1199;7;"04";;;;;;;0;;19;;;
1200;7;"05";;;;;;;0;;17;;;
1201;7;"06";;;;;;;0;;7;;;
1202;7;"07";;;;;;;0;;24;;;
1203;7;"08";;;;;;;0;;72;;;
1204;7;"09";;;;;;;0;;54;;;
1205;7;"10";;;;;;;0;;2;;;
1206;7;"11";;;;;;;0;;9;;;
1207;7;"12";;;;;;;0;;8;;;
1208;7;"13";;;;;;;0;;6;;;
1209;7;"14";;;;;;;0;;15;;;
1210;7;"15";;;;;;;0;;1;;;
1211;7;"16";;;;;;;0;;1;;;
1212;7;"17";;;;;;;0;;1;;;
1213;7;"18";;;;;;;0;;23;;;
1214;7;"19";;;;;;;0;;5;;;
1215;7;"20";;;;;;;0;;5;;;
1216;7;"21";;;;;;;0;;5;;;
1217;7;"22";;;;;;;0;;4;;;
1218;7;"23";;;;;;;0;;24;;;
1219;7;"24";;;;;;;0;;65;;;
1220;7;"25";;;;;;;0;;4;;;
1221;7;"26";;;;;;;0;;3;;;
1222;7;"27";;;;;;;0;;6;;;
1223;7;"28";;;;;;;0;;1;;;
1224;7;"29";;;;;;;0;;5;;;
1225;7;"30";;;;;;;0;;3;;;
1226;7;"31";;;;;;;0;;5;;;
1227;7;"32";;;;;;;0;;12;;;
1228;7;"33";;;;;;;0;;4;;;
1229;7;"34";;;;;;;0;;3;;;
1230;7;"35";;;;;;;0;;5;;;
1231;7;"36";;;;;;;0;;5;;;
1232;7;"37";;;;;;;0;;5;;;
1233;8;"01";;;;;;;0;;5;;;
1234;8;"02";;;;;;;0;;11;;;
1235;8;"03";;;;;;;0;;7;;;
1236;8;"04";;;;;;;0;;17;;;
1237;8;"05";;;;;;;0;;15;;;
1238;8;"06";;;;;;;0;;25;;;
1239;8;"07";;;;;;;0;;34;;;
1240;8;"08";;;;;;;0;;26;;;
1241;8;"09";;;;;;;0;;7;;;
1242;8;"10";;;;;;;0;;5;;;
1243;8;"11";;;;;;;0;;1;;;
1244;8;"12";;;;;;;0;;7;;;
1245;8;"13";;;;;;;0;;8;;;
1246;8;"14";;;;;;;0;;2;;;
1247;8;"15";;;;;;;0;;1;;;
1248;8;"16";;;;;;;0;;1;;;
1249;8;"17";;;;;;;0;;4;;;
1250;8;"18";;;;;;;0;;3;;;
1251;8;"19";;;;;;;0;;1;;;
1252;8;"20";;;;;;;0;;2;;;
1253;8;"21";;;;;;;0;;1;;;
1254;8;"22";;;;;;;0;;1;;;
1255;8;"23";;;;;;;0;;1;;;
1256;8;"24";;;;;;;0;;1;;;
1257;9;"01";;;;;;;0;;2;;;
1258;9;"02";;;;;;;0;;139;;;
1259;9;"03";;;;;;;0;;153;;;
1260;9;"04";;;;;;;0;;0;;;
1261;9;"05";;;;;;;0;;26;;;
1262;9;"06";;;;;;;0;;1;;;
1263;9;"07";;;;;;;0;;2;;;
1264;9;"08";;;;;;;0;;20;;;
1265;9;"09";;;;;;;0;;20;;;
1266;9;"10";;;;;;;0;;18;;;
1267;9;"11";;;;;;;0;;1;;;
1268;9;"12";;;;;;;0;;1;;;
1269;9;"13";;;;;;;0;;1;;;
1270;9;"14";;;;;;;0;;4;;;
1271;9;"15";;;;;;;0;;40;;;
1272;9;"16";;;;;;;0;;25;;;
1273;9;"17";;;;;;;0;;1;;;
1274;9;"18";;;;;;;0;;2;;;
1275;9;"19";;;;;;;0;;1;;;
1276;9;"20";;;;;;;0;;1;;;
1277;9;"21";;;;;;;0;;33;;;
1278;9;"22";;;;;;;0;;23;;;
1279;9;"23";;;;;;;0;;3;;;
1280;9;"24";;;;;;;0;;1;;;
1281;9;"25";;;;;;;0;;22;;;
1282;9;"26";;;;;;;0;;10;;;
1283;9;"27";;;;;;;0;;2;;;
1284;9;"28";;;;;;;0;;1;;;
1285;9;"29";;;;;;;0;;9;;;
1286;9;"30";;;;;;;0;;3;;;
1287;9;"31";;;;;;;0;;1;;;
1288;9;"32";;;;;;;0;;1;;;
1289;9;"33";;;;;;;0;;1;;;
1290;9;"34";;;;;;;0;;3;;;
1291;9;"35";;;;;;;0;;2;;;
1292;9;"36";;;;;;;0;;1;;;
1293;9;"37";;;;;;;0;;25;;;
1294;9;"38";;;;;;;0;;6;;;
1295;9;"39";;;;;;;0;;5;;;
1296;9;"40";;;;;;;0;;4;;;
1297;10;"01";;;;;;;0;;11;;;
1298;10;"02";;;;;;;0;;19;;;
1299;10;"03";;;;;;;0;;3;;;
1300;10;"04";;;;;;;0;;4;;;
1301;10;"05";;;;;;;0;;1;;;
1302;10;"06";;;;;;;0;;16;;;
1303;10;"07";;;;;;;0;;6;;;
1304;10;"08";;;;;;;0;;1;;;
1305;10;"09";;;;;;;0;;15;;;
1306;10;"10";;;;;;;0;;1;;;
1307;10;"11";;;;;;;0;;1;;;
1308;10;"12";;;;;;;0;;3;;;
1309;10;"13";;;;;;;0;;2;;;
1310;10;"14";;;;;;;0;;1;;;
1311;10;"15";;;;;;;0;;8;;;
1312;11;"01";;;;;;;0;;1;;;
1313;11;"02";;;;;;;0;;3;;;
1314;11;"03";;;;;;;0;;2;;;
1315;11;"04";;;;;;;0;;1;;;
1316;11;"05";;;;;;;0;;2;;;
1317;11;"06";;;;;;;0;;1;;;
1318;11;"07";;;;;;;0;;1;;;
1319;11;"08";;;;;;;0;;1;;;
1320;11;"09";;;;;;;0;;1;;;
1321;11;"10";;;;;;;0;;3;;;
1322;11;"11";;;;;;;0;;1;;;
1323;11;"12";;;;;;;0;;1;;;
1324;11;"13";;;;;;;0;;1;;;
1325;11;"14";;;;;;;0;;4;;;
1326;11;"15";;;;;;;0;;1;;;
1327;11;"16";;;;;;;0;;12;;;
1328;12;"01";;;;;;;0;;40;;;
1329;12;"02";;;;;;;0;;45;;;
1330;12;"03";;;;;;;0;;27;;;
1331;12;"04";;;;;;;0;;22;;;
1332;12;"05";;;;;;;0;;6;;;
1333;12;"06";;;;;;;0;;18;;;
