"ID_TARIF","PRIX_BASE","DEVISE","MESURE","LIBELLE_NOM_TARIF","CONFIDENTIEL","POURCENTAGE_PRIX_BASE","VARIATION","TVA","TARIF_BASE","TARIF_PRO","ID_TARIF_GROUPE","ID_TARIF_TEXTURE","ID_DISCOUNT"
"34","284.29","1","1","2007 Tarif de base TTC","","0","0","19.6","1","","","",""
"35","21","2","2","2007 Tarif US PRO","","0","0","0","","","","",""
"36","247.53","1","1","2007 Tarif Pro Moyen Orient","","27.2","2","0","","","","",""
"37","170","1","1","2007 Tarif Pro Europe HT","","0","0","0","","","","",""
"38","187","1","1","2007 Tarif Pro Belgique HT","","0","0","0","","","","",""
"39","153","1","1","2007 Tarif Pro Japon HT","","0","0","0","","","","",""
"40","35","2","2","2007 Tarif US public","","0","0","0","","","","",""
"41","353.61","1","1","2007 Tarif public Moyen Orient HT","","4","1","0","","","","",""
"42","144.5","1","1","2007 Tarif Espagne Basagoiti","","57.5","2","0","","","","",""
"43","170","1","1","2007 Tarif Pro France TTC","","0","0","19.6","","","","",""
"45","284.29","1","1","2007 Tarif Public HT","","0","0","0","","","","",""
"46","458","2","1","2007 Mark Hotel","","0","0","0","","","","",""
"47","170","1","1","2007 Taris Pro F TTC","","0","0","19.6","","1","","",""
"49","295.99","1","1","2008 Tarif de Base rue Jacob TTC","","0","0","19.6","","","","",""
"50","177","1","1","2008 Tarif Pro France TTC","","0","0","19.6","","1","","",""
"51","177","1","1","2008 Tarif Pro Europe HT","","0","0","0","","","","",""
"52","194","1","1","2008 Tarif Pro Europe HT II","","0","0","0","","","","",""
"53","184","1","1","2008 Tarif Pro Allemagne (port inclus) HT","","0","0","0","","","","",""
"54","22","2","2","2008 Tarif US Pro","","0","0","0","","","","",""
"56","156","1","1","2008 Tarif Mengo & Fortes HT","","0","0","0","","","","",""
"57","210","1","1","2008 Tarif rue Jacob - 40% HT","","0","0","0","","","","",""
"58","20","2","2","2008 Tarif US Showroom","","0","0","0","","","","",""
"59","141.6","1","1","2008 Tarif H. Chevalier (Pro -20%)","","0","0","19.6","","1","","",""
"60","25.9","2","2","2008 Tarif David Sutherland - Cost Prizes","","0","0","0","","","","",""
"61","296","1","1","2008 Tarif de Base rue Jacob  HT","","0","0","0","","","","",""
"62","32.27","2","2","2010 Tarif PYR US","","0","0","0","","","","",""
"64","227.5","1","1","2010 Tarif Déco R","","0","0","0","","","","",""
"66","31","2","2","2008 Tarif David Sutherland - Recommended Net Prof. Prizes -","","0","0","0","","","","",""
"67","266.39","1","1","2008 Tarif rue Jacob HT -10%","","0","0","0","","","","",""
