ID_TARIF_MATIERE;ID_ASS_QUALITE_TARIF_TEXTURE;ID_MATIERE;TARIF_PUBLIC;TARIF_GRD_PROJET
437;125;4;300;450
438;125;6;0;0
439;125;7;0;0
440;125;8;0;0
441;125;9;0;0
442;125;10;0;0
443;125;11;0;0
444;126;4;250;270
445;126;6;280;310
446;126;7;320;340
447;126;8;200;220
448;126;9;230;250
449;126;10;260;270
450;126;11;450;550
451;127;4;0;0
452;127;6;0;0
453;127;7;0;0
454;127;8;0;0
455;127;9;0;0
456;127;10;0;0
457;127;11;0;0
458;128;4;500;400
459;128;6;1000;800
460;128;7;0;0
461;128;8;0;0
462;128;9;200;0
463;128;10;0;0
464;128;11;0;0
465;129;4;600;105
466;129;6;1000;250
467;129;7;0;0
468;129;8;270;280
469;129;9;300;430
470;129;10;190;230
471;129;11;500;560
472;130;4;230;250
473;130;6;310;330
474;130;7;0;0
475;130;8;140;170
476;130;9;180;200
477;130;10;145;175
478;130;11;400;450
479;131;4;80;140
480;131;6;90;120
481;131;7;230;255
482;131;8;130;150
483;131;9;170;180
484;131;10;165;175
485;131;11;180;210
486;132;4;1090;2021
487;132;6;0;0
488;132;7;0;0
489;132;8;;
490;132;9;0;0
491;132;10;0;0
492;132;11;0;0
493;133;4;900;600
494;133;6;1500;1200
495;133;7;0;0
496;133;8;0;0
497;133;9;0;0
498;133;10;0;0
499;133;11;0;0
500;134;4;0;0
501;134;6;0;0
502;134;7;0;0
503;134;8;0;0
504;134;9;0;0
505;134;10;0;0
506;134;11;0;0
507;135;4;200;250
508;135;6;300;250
509;135;7;210;200
510;135;8;230;270
511;135;9;215;325
512;135;10;275;300
513;135;11;400;525
514;136;4;0;0
515;136;6;0;0
516;136;7;0;0
517;136;8;0;0
518;136;9;0;0
519;136;10;0;0
520;136;11;0;0
521;137;4;0;0
522;137;6;0;0
523;137;7;0;0
524;137;8;0;0
525;137;9;0;0
526;137;10;0;0
527;137;11;0;0
528;138;4;0;0
529;138;6;0;0
530;138;7;0;0
531;138;8;0;0
532;138;9;0;0
533;138;10;0;0
534;138;11;0;0
535;139;4;0;0
536;139;6;0;0
537;139;7;0;0
538;139;8;0;0
539;139;9;0;0
540;139;10;0;0
541;139;11;0;0
542;140;4;0;0
543;140;6;0;0
544;140;7;0;0
545;140;8;0;0
546;140;9;0;0
547;140;10;0;0
548;140;11;0;0
549;141;4;0;0
550;141;6;0;0
551;141;7;0;0
552;141;8;0;0
553;141;9;0;0
